time,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,RGT,,,LGT,,,RAsho,,,RPsho,,
0,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.100857,28.1618,32.693,95.7768,28.848,59.3963,94.6818,11.2187,41.5424,97.549,11.4063,50.9482,97.1951,22.1465,27.9599,85.8989,21.7498,64.1892,85.6039,25.2029,32.1923,140.42,11.02,31.1362,141.291
0.102834,28.1619,32.6937,95.7773,28.8484,59.3964,94.6789,11.2158,41.5401,97.552,11.4076,50.9503,97.1988,22.1442,27.9603,85.8997,21.749,64.1886,85.6057,25.2032,32.1912,140.422,11.0184,31.1355,141.291
0.104812,28.1615,32.6922,95.7775,28.8479,59.398,94.6786,11.2156,41.5404,97.5527,11.4068,50.9482,97.1964,22.1432,27.9594,85.8985,21.7491,64.1893,85.6046,25.2001,32.1943,140.43,11.0166,31.1361,141.289
0.106789,28.161,32.6907,95.7776,28.8474,59.3995,94.6783,11.2155,41.5407,97.5534,11.406,50.9461,97.1941,22.1421,27.9585,85.8972,21.7492,64.19,85.6034,25.1969,32.1975,140.438,11.0148,31.1367,141.287
0.108767,,,,,,,,,,,,,,,,,,,,,,,,
0.110745,,,,,,,,,,,,,,,,,,,,,,,,
0.112722,,,,,,,,,,,,,,,,,,,,,,,,
0.1147,,,,,,,,,,,,,,,,,,,,,,,,
0.116677,,,,,,,,,,,,,,,,,,,,,,,,
0.118655,,,,,,,,,,,,,,,,,,,,,,,,
0.120632,,,,,,,,,,,,,,,,,,,,,,,,
0.12261,,,,,,,,,,,,,,,,,,,,,,,,
0.124588,,,,,,,,,,,,,,,,,,,,,,,,
0.126565,,,,,,,,,,,,,,,,,,,,,,,,
0.128543,,,,,,,,,,,,,,,,,,,,,,,,
0.13052,,,,,,,,,,,,,,,,,,,,,,,,
0.132498,,,,,,,,,,,,,,,,,,,,,,,,
0.134476,,,,,,,,,,,,,,,,,,,,,,,,
0.136453,,,,,,,,,,,,,,,,,,,,,,,,
0.138431,,,,,,,,,,,,,,,,,,,,,,,,
0.140408,,,,,,,,,,,,,,,,,,,,,,,,
0.142386,,,,,,,,,,,,,,,,,,,,,,,,
0.144363,,,,,,,,,,,,,,,,,,,,,,,,
0.146341,,,,,,,,,,,,,,,,,,,,,,,,
0.148319,,,,,,,,,,,,,,,,,,,,,,,,
0.150296,,,,,,,,,,,,,,,,,,,,,,,,
0.152274,,,,,,,,,,,,,,,,,,,,,,,,
0.154251,,,,,,,,,,,,,,,,,,,,,,,,
0.156229,,,,,,,,,,,,,,,,,,,,,,,,
0.158206,,,,,,,,,,,,,,,,,,,,,,,,
0.160184,,,,,,,,,,,,,,,,,,,,,,,,
0.162162,,,,,,,,,,,,,,,,,,,,,,,,
0.164139,,,,,,,,,,,,,,,,,,,,,,,,
0.166117,,,,,,,,,,,,,,,,,,,,,,,,
0.168094,,,,,,,,,,,,,,,,,,,,,,,,
0.170072,,,,,,,,,,,,,,,,,,,,,,,,
0.17205,,,,,,,,,,,,,,,,,,,,,,,,
0.174027,,,,,,,,,,,,,,,,,,,,,,,,
0.176005,,,,,,,,,,,,,,,,,,,,,,,,
0.177982,,,,,,,,,,,,,,,,,,,,,,,,
0.17996,,,,,,,,,,,,,,,,,,,,,,,,
0.181937,,,,,,,,,,,,,,,,,,,,,,,,
0.183915,,,,,,,,,,,,,,,,,,,,,,,,
0.185893,,,,,,,,,,,,,,,,,,,,,,,,
0.18787,,,,,,,,,,,,,,,,,,,,,,,,
0.189848,,,,,,,,,,,,,,,,,,,,,,,,
0.191825,,,,,,,,,,,,,,,,,,,,,,,,
0.193803,,,,,,,,,,,,,,,,,,,,,,,,
0.195781,,,,,,,,,,,,,,,,,,,,,,,,
0.197758,,,,,,,,,,,,,,,,,,,,,,,,
0.199736,,,,,,,,,,,,,,,,,,,,,,,,
0.201713,,,,,,,,,,,,,,,,,,,,,,,,
0.203691,,,,,,,,,,,,,,,,,,,,,,,,
0.205668,,,,,,,,,,,,,,,,,,,,,,,,
0.207646,,,,,,,,,,,,,,,,,,,,,,,,
0.209624,,,,,,,,,,,,,,,,,,,,,,,,
0.211601,,,,,,,,,,,,,,,,,,,,,,,,
0.213579,,,,,,,,,,,,,,,,,,,,,,,,
0.215556,,,,,,,,,,,,,,,,,,,,,,,,
0.217534,,,,,,,,,,,,,,,,,,,,,,,,
0.219512,,,,,,,,,,,,,,,,,,,,,,,,
0.221489,,,,,,,,,,,,,,,,,,,,,,,,
0.223467,,,,,,,,,,,,,,,,,,,,,,,,
0.225444,,,,,,,,,,,,,,,,,,,,,,,,
0.227422,,,,,,,,,,,,,,,,,,,,,,,,
0.229399,,,,,,,,,,,,,,,,,,,,,,,,
0.231377,,,,,,,,,,,,,,,,,,,,,,,,
0.233355,,,,,,,,,,,,,,,,,,,,,,,,
0.235332,,,,,,,,,,,,,,,,,,,,,,,,
0.23731,,,,,,,,,,,,,,,,,,,,,,,,
0.239287,,,,,,,,,,,,,,,,,,,,,,,,
0.241265,,,,,,,,,,,,,,,,,,,,,,,,
0.243242,,,,,,,,,,,,,,,,,,,,,,,,
0.24522,,,,,,,,,,,,,,,,,,,,,,,,
0.247198,,,,,,,,,,,,,,,,,,,,,,,,
0.249175,,,,,,,,,,,,,,,,,,,,,,,,
0.251153,,,,,,,,,,,,,,,,,,,,,,,,
0.25313,,,,,,,,,,,,,,,,,,,,,,,,
0.255108,,,,,,,,,,,,,,,,,,,,,,,,
0.257086,,,,,,,,,,,,,,,,,,,,,,,,
0.259063,,,,,,,,,,,,,,,,,,,,,,,,
0.261041,,,,,,,,,,,,,,,,,,,,,,,,
0.263018,,,,,,,,,,,,,,,,,,,,,,,,
0.264996,,,,,,,,,,,,,,,,,,,,,,,,
0.266973,,,,,,,,,,,,,,,,,,,,,,,,
0.268951,,,,,,,,,,,,,,,,,,,,,,,,
0.270929,,,,,,,,,,,,,,,,,,,,,,,,
0.272906,,,,,,,,,,,,,,,,,,,,,,,,
0.274884,,,,,,,,,,,,,,,,,,,,,,,,
0.276861,,,,,,,,,,,,,,,,,,,,,,,,
0.278839,,,,,,,,,,,,,,,,,,,,,,,,
0.280817,,,,,,,,,,,,,,,,,,,,,,,,
0.282794,,,,,,,,,,,,,,,,,,,,,,,,
0.284772,,,,,,,,,,,,,,,,,,,,,,,,
0.286749,,,,,,,,,,,,,,,,,,,,,,,,
0.288727,,,,,,,,,,,,,,,,,,,,,,,,
0.290704,,,,,,,,,,,,,,,,,,,,,,,,
0.292682,,,,,,,,,,,,,,,,,,,,,,,,
0.29466,,,,,,,,,,,,,,,,,,,,,,,,
0.296637,,,,,,,,,,,,,,,,,,,,,,,,
0.298615,,,,,,,,,,,,,,,,,,,,,,,,
0.300592,,,,,,,,,,,,,,,,,,,,,,,,
0.30257,,,,,,,,,,,,,,,,,,,,,,,,
0.304547,,,,,,,,,,,,,,,,,,,,,,,,
0.306525,,,,,,,,,,,,,,,,,,,,,,,,
0.308503,,,,,,,,,,,,,,,,,,,,,,,,
0.31048,,,,,,,,,,,,,,,,,,,,,,,,
0.312458,,,,,,,,,,,,,,,,,,,,,,,,
0.314435,,,,,,,,,,,,,,,,,,,,,,,,
0.316413,,,,,,,,,,,,,,,,,,,,,,,,
0.318391,,,,,,,,,,,,,,,,,,,,,,,,
0.320368,,,,,,,,,,,,,,,,,,,,,,,,
0.322346,,,,,,,,,,,,,,,,,,,,,,,,
0.324323,,,,,,,,,,,,,,,,,,,,,,,,
0.326301,,,,,,,,,,,,,,,,,,,,,,,,
0.328278,,,,,,,,,,,,,,,,,,,,,,,,
0.330256,,,,,,,,,,,,,,,,,,,,,,,,
0.332234,,,,,,,,,,,,,,,,,,,,,,,,
0.334211,,,,,,,,,,,,,,,,,,,,,,,,
0.336189,,,,,,,,,,,,,,,,,,,,,,,,
0.338166,,,,,,,,,,,,,,,,,,,,,,,,
0.340144,,,,,,,,,,,,,,,,,,,,,,,,
0.342122,,,,,,,,,,,,,,,,,,,,,,,,
0.344099,,,,,,,,,,,,,,,,,,,,,,,,
0.346077,,,,,,,,,,,,,,,,,,,,,,,,
0.348054,,,,,,,,,,,,,,,,,,,,,,,,
0.350032,,,,,,,,,,,,,,,,,,,,,,,,
0.352009,,,,,,,,,,,,,,,,,,,,,,,,
0.353987,,,,,,,,,,,,,,,,,,,,,,,,
0.355965,,,,,,,,,,,,,,,,,,,,,,,,
0.357942,,,,,,,,,,,,,,,,,,,,,,,,
0.35992,,,,,,,,,,,,,,,,,,,,,,,,
0.361897,,,,,,,,,,,,,,,,,,,,,,,,
0.363875,,,,,,,,,,,,,,,,,,,,,,,,
0.365853,,,,,,,,,,,,,,,,,,,,,,,,
0.36783,,,,,,,,,,,,,,,,,,,,,,,,
0.369808,,,,,,,,,,,,,,,,,,,,,,,,
0.371785,,,,,,,,,,,,,,,,,,,,,,,,
