Frame,Event,Time (s),Club:CH,,,,,,
,,,X,Y,Z,,,,
326,,-0.745,109.7,-16.2,14.0,,,,
327,,-0.744,109.4,-16.9,14.2,,,,
328,,-0.743,109.2,-17.6,14.5,,,,
329,,-0.742,109.0,-18.3,14.7,,,,
330,,-0.741,108.8,-19.1,15.0,,,,
331,,-0.74,108.6,-19.8,15.2,,,,
332,,-0.739,108.3,-20.5,15.5,,,,
333,,-0.738,108.1,-21.3,15.8,,,,
334,,-0.737,107.9,-22.0,16.0,,,,
335,,-0.736,107.6,-22.7,16.3,,,,
336,,-0.735,107.4,-23.4,16.6,,,,
337,,-0.734,107.2,-24.2,16.9,,,,
338,,-0.733,106.9,-24.9,17.2,,,,
339,,-0.732,106.7,-25.7,17.5,,,,
340,,-0.731,106.4,-26.4,17.8,,,,
341,,-0.73,106.1,-27.1,18.1,,,,
342,,-0.729,105.9,-27.9,18.4,,,,
343,,-0.728,105.6,-28.6,18.7,,,,
344,,-0.727,105.4,-29.4,19.0,,,,
345,,-0.726,105.1,-30.1,19.3,,,,
346,,-0.725,104.8,-30.8,19.6,,,,
347,,-0.724,104.5,-31.6,20.0,,,,
348,,-0.723,104.2,-32.3,20.3,,,,
349,,-0.722,103.9,-33.1,20.7,,,,
350,,-0.721,103.7,-33.8,21.0,,,,
351,,-0.72,103.4,-34.6,21.3,,,,
352,,-0.719,103.1,-35.3,21.7,,,,
353,,-0.718,102.8,-36.1,22.1,,,,
354,,-0.717,102.4,-36.8,22.4,,,,
355,,-0.716,102.1,-37.6,22.8,,,,
356,,-0.715,101.8,-38.3,23.2,,,,
357,,-0.714,101.5,-39.1,23.5,,,,
358,,-0.713,101.2,-39.8,23.9,,,,
359,,-0.712,100.8,-40.6,24.3,,,,
360,,-0.711,100.5,-41.3,24.7,,,,
361,,-0.71,100.2,-42.1,25.1,,,,
362,,-0.709,99.8,-42.8,25.5,,,,
363,,-0.708,99.5,-43.5,25.9,,,,
364,,-0.707,99.1,-44.3,26.3,,,,
365,,-0.706,98.8,-45.0,26.8,,,,
366,,-0.705,98.4,-45.8,27.2,,,,
367,,-0.704,98.1,-46.5,27.6,,,,
368,,-0.703,97.7,-47.3,28.0,,,,
369,,-0.702,97.4,-48.0,28.5,,,,
370,,-0.701,97.0,-48.7,28.9,,,,
371,,-0.7,96.6,-49.5,29.4,,,,
372,,-0.699,96.2,-50.2,29.8,,,,
373,,-0.698,95.9,-50.9,30.3,,,,
374,,-0.697,95.5,-51.7,30.8,,,,
375,,-0.696,95.1,-52.4,31.2,,,,
376,,-0.695,94.7,-53.1,31.7,,,,
377,,-0.694,94.3,-53.9,32.2,,,,
378,,-0.693,93.9,-54.6,32.7,,,,
379,,-0.692,93.5,-55.3,33.2,,,,
380,,-0.691,93.1,-56.0,33.7,,,,
381,,-0.69,92.6,-56.8,34.2,,,,
382,,-0.689,92.2,-57.5,34.7,,,,
383,,-0.688,91.8,-58.2,35.2,,,,
384,,-0.687,91.4,-58.9,35.7,,,,
385,,-0.686,90.9,-59.6,36.3,,,,
386,,-0.685,90.5,-60.3,36.8,,,,
387,,-0.684,90.0,-61.1,37.3,,,,
388,,-0.683,89.6,-61.8,37.9,,,,
389,,-0.682,89.1,-62.5,38.4,,,,
390,,-0.681,88.7,-63.2,39.0,,,,
391,,-0.68,88.2,-63.9,39.5,,,,
392,,-0.679,87.7,-64.5,40.1,,,,
393,,-0.678,87.3,-65.2,40.7,,,,
394,,-0.677,86.8,-65.9,41.2,,,,
395,,-0.676,86.3,-66.6,41.8,,,,
396,,-0.675,85.8,-67.3,42.4,,,,
397,,-0.674,85.3,-68.0,43.0,,,,
398,,-0.673,84.9,-68.6,43.6,,,,
399,,-0.672,84.4,-69.3,44.2,,,,
400,,-0.671,83.9,-70.0,44.8,,,,
401,,-0.67,83.4,-70.6,45.4,,,,
402,,-0.669,82.9,-71.3,46.1,,,,
403,,-0.668,82.3,-71.9,46.7,,,,
404,,-0.667,81.8,-72.6,47.3,,,,
405,,-0.666,81.3,-73.2,48.0,,,,
406,,-0.665,80.8,-73.9,48.6,,,,
407,,-0.664,80.3,-74.5,49.2,,,,
408,,-0.663,79.7,-75.2,49.9,,,,
409,,-0.662,79.2,-75.8,50.6,,,,
410,,-0.661,78.7,-76.4,51.2,,,,
411,,-0.66,78.1,-77.0,51.9,,,,
412,,-0.659,77.6,-77.6,52.6,,,,
413,,-0.658,77.0,-78.2,53.3,,,,
414,,-0.657,76.5,-78.9,54.0,,,,
415,,-0.656,75.9,-79.4,54.7,,,,
416,,-0.655,75.3,-80.0,55.4,,,,
417,,-0.654,74.8,-80.6,56.1,,,,
418,,-0.653,74.2,-81.2,56.8,,,,
419,,-0.652,73.6,-81.8,57.5,,,,
420,,-0.651,73.1,-82.4,58.2,,,,
421,,-0.65,72.5,-82.9,59.0,,,,
422,,-0.649,71.9,-83.5,59.7,,,,
423,,-0.648,71.3,-84.0,60.4,,,,
424,,-0.647,70.7,-84.6,61.2,,,,
425,,-0.646,70.1,-85.1,62.0,,,,
426,,-0.645,69.5,-85.7,62.7,,,,
427,,-0.644,68.9,-86.2,63.5,,,,
428,,-0.643,68.3,-86.7,64.2,,,,
429,,-0.642,67.7,-87.2,65.0,,,,
430,,-0.641,67.1,-87.8,65.8,,,,
431,,-0.64,66.5,-88.3,66.6,,,,
432,,-0.639,65.9,-88.8,67.4,,,,
433,,-0.638,65.3,-89.2,68.2,,,,
434,,-0.637,64.7,-89.7,69.0,,,,
435,,-0.636,64.0,-90.2,69.8,,,,
436,,-0.635,63.4,-90.7,70.6,,,,
437,,-0.634,62.8,-91.1,71.4,,,,
438,,-0.633,62.1,-91.6,72.2,,,,
439,,-0.632,61.5,-92.0,73.0,,,,
440,,-0.631,60.8,-92.4,73.9,,,,
441,,-0.63,60.2,-92.9,74.7,,,,
442,,-0.629,59.6,-93.3,75.5,,,,
443,,-0.628,58.9,-93.7,76.4,,,,
444,,-0.627,58.3,-94.1,77.2,,,,
445,,-0.626,57.6,-94.5,78.1,,,,
446,,-0.625,56.9,-94.9,78.9,,,,
447,,-0.624,56.3,-95.3,79.8,,,,
448,,-0.623,55.6,-95.6,80.6,,,,
449,,-0.622,54.9,-96.0,81.5,,,,
450,,-0.621,54.3,-96.3,82.4,,,,
451,,-0.62,53.6,-96.7,83.3,,,,
452,,-0.619,52.9,-97.0,84.1,,,,
453,,-0.618,52.2,-97.4,85.0,,,,
454,,-0.617,51.6,-97.7,85.9,,,,
455,,-0.616,50.9,-98.0,86.8,,,,
456,,-0.615,50.2,-98.3,87.7,,,,
457,,-0.614,49.5,-98.6,88.6,,,,
458,,-0.613,48.8,-98.9,89.5,,,,
459,MB,-0.612,48.1,-99.1,90.4,,,,
460,,-0.611,47.5,-99.4,91.3,,,,
461,,-0.61,46.8,-99.7,92.2,,,,
462,,-0.609,46.1,-99.9,93.1,,,,
463,,-0.608,45.4,-100.2,94.0,,,,
464,,-0.607,44.7,-100.4,94.9,,,,
465,,-0.606,44.0,-100.6,95.9,,,,
466,,-0.605,43.3,-100.8,96.8,,,,
467,,-0.604,42.6,-101.0,97.7,,,,
468,,-0.603,41.9,-101.2,98.6,,,,
469,,-0.602,41.2,-101.4,99.6,,,,
470,,-0.601,40.4,-101.6,100.5,,,,
471,,-0.6,39.7,-101.7,101.4,,,,
472,,-0.599,39.0,-101.9,102.4,,,,
473,,-0.598,38.3,-102.0,103.3,,,,
474,,-0.597,37.6,-102.2,104.3,,,,
475,,-0.596,36.9,-102.3,105.2,,,,
476,,-0.595,36.1,-102.4,106.2,,,,
477,,-0.594,35.4,-102.5,107.1,,,,
